"","parity","species","lat","lon","elev","topt_a","ctmin_a","ctmax_a","source","za","ze","n","source_lh","activity","substrate","biome","eggs_seen","hatchlings_seen","breed_ref","breed_other_species","nest_depth","nest_shade","nest_ref"
"1","Oviparous","Anolis_carolinensis",31,-89.9,92,32.1,4.7,41.7,"b",2.54131876262491,0.22951186747501,1,"sb","Diurnal","Arboreal","Temperate Broadleaf & Mixed Forests",5,9,1,"",5,1,1
"2","Oviparous","Anolis_cristatellus",18.5,-66.2,0,29.1,8.9,37.1,"b",2.80489465792579,0.237359996540471,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",1,12,2,"",5,1,2
"3","Oviparous","Anolis_cupreus",10.4,-85.1,56,30.8,11.8,38.4,"b",1.83627757354897,0.131526029547667,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",5,4,8,"",NA,NA,NA
"4","Oviparous","Anolis_gundlachi",18.3,-65.7,168,28.1,6.3,35.4,"b",1.84855474364787,0.119040814146301,1,"sb","Diurnal","Arboreal","Tropical & Subtropical Moist Broadleaf Forests",1,12,2,"",NA,NA,NA
"5","Oviparous","Anolis_humilis",10.4,-83.8,66,27.5,12.4,35.6,"b",1.14151400728586,0.105494995541876,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",1,11,4,"",NA,NA,NA
"6","Oviparous","Anolis_lemurinus",10.4,-83.8,66,33.5,12.9,37.3,"b",4.38099306260893,0.325781651230545,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",1,12,6,"Anolis_lionotus",NA,NA,NA
"7","Oviparous","Anolis_limifrons",10.4,-83.8,66,27.9,12.3,36.8,"b",1.56304457570957,0.0839126814357893,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",1,12,5,"",NA,NA,NA
"8","Oviparous","Anolis_lionotus",10.4,-83.8,66,28.4,14.7,36.7,"b",5.12246513356797,0.410382999217688,1,"sb","Diurnal","Semi-Aquatic","Tropical & Subtropical Moist Broadleaf Forests",1,12,6,"",NA,NA,NA
"9","Oviparous","Anolis_tropidolepis",10.3,-84.8,1535,27,9.5,33.1,"b",2.78388340117331,0.19283233459394,1,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",1,12,7,"",NA,NA,NA
"10","Oviparous","Aspidoscelis_tigris",43,-116.3,837,37.6,10.5,45.1,"b",15.5793982664845,0.945318926294877,1.3,"sb","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,8,"",NA,NA,NA
"11","Oviparous","Callisaurus_draconoides",31.132,-114.942,72,35.8,13.3,43.1,"dg",11.22,1.1,4.335,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,9,"",NA,NA,NA
"12","Oviparous","Cophosaurus_texanus",26.682,-103.748,1161,37.1,15.4,44.4,"dg",6.61,0.66,4.55,"dg","Diurnal","Saxicolous&Terrestrial","Deserts & Xeric Shrublands",5,10,10,"",NA,NA,NA
"13","Oviparous","Ctenotus_regius",-34.2,140,39,36.9,8.7,45.1,"b",5.17642677873629,0.436692690942748,2,"sb","Diurnal","Terrestrial","Deserts & Xeric Shrublands",12,4,11,"",5,0,3
"14","Oviparous","Ctenotus_taeniolatus",-30.5,151.7,1002,37.3,11.4,44.7,"b",6.6815993691418,0.485729778185137,3,"sb","Diurnal","Terrestrial","Tropical & Subtropical Grasslands, Savannas & Shrublands",2,2,13,"",5,0,4
"15","Oviparous","Dipsosaurus_dorsalis",33.8,-115.5,541,40.3,14,47.5,"b",65.3312876726981,4.26196492123803,3.5,"sb","Diurnal","Terrestrial","Deserts & Xeric Shrublands",4,8,13,"",NA,NA,NA
"16","Oviparous","Elgaria_multicarinata",33.7,-117.8,22,34.6,12.4,43.6,"b",29.2506961338514,0.266034949561486,8.8,"sb","Cathemeral","Cryptic","Mediterranean",4,8,13,"",NA,NA,NA
"17","Oviparous","Gallotia_stehlini",28.1,-15.4,0,38.1,2,40.2,"b",126.143885038513,1.95966482476374,9.8,"sb","Diurnal","Terrestrial","Mediterranean",5,9,15,"Gallotia_simonyi",NA,NA,NA
"18","Oviparous","Lacerta_agilis",51.8,5.9,79,37.9,5.9,43.9,"b",10.8015574175874,0.479683155429233,5.3,"sb","Diurnal","Terrestrial","Temperate Broadleaf & Mixed Forests",6,7,17,"",5,0,5
"19","Oviparous","Lampropholis_coggeri",-17.2,145.5,717,31.43,9.96,43.42,"b",0.923193876472322,0.0926958387690097,2.38,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",11,2,18,"",10,1,6
"20","Oviparous","Lampropholis_coggeri",-17.2,145.5,717,28.8,13.48,42.57,"b",0.923193876472322,0.0926958387690097,2.38,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",11,2,18,"",10,1,6
"21","Oviparous","Lampropholis_coggeri",-17.2,145.5,717,31.9,12.97,43.05,"b",0.923193876472322,0.0926958387690097,2.38,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",11,2,18,"",10,1,6
"22","Oviparous","Lampropholis_coggeri",-17.4,145.5,879,28.2,12.57,42.05,"b",0.923193876472322,0.0926958387690097,2.38,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",11,2,18,"",10,1,6
"23","Oviparous","Lampropholis_coggeri",-17.7,145.5,919,29.28,14.62,41.78,"b",0.923193876472322,0.0926958387690097,2.38,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",11,2,18,"",10,1,6
"24","Oviparous","Petrosaurus_thalassinus",23.555,-109.86,500,31.3,17.1,39.6,"dg",26.92,1.45,8.6,"dg","Diurnal","Saxicolous","Tropical & Subtropical Dry Broadleaf Forests",5,8,19,"",NA,NA,NA
"25","Oviparous","Phrynosoma_asio",17.63,-99.526,1200,35.9,11.8,44.8,"dg",33.11,1.82,16.9,"dg","Diurnal","Terrestrial","Tropical & Subtropical Dry Broadleaf Forests",6,8,20,"",NA,NA,NA
"26","Oviparous","Phrynosoma_cornutum",30.825,-108.474,1435,34.2,9.46,47.9,"dg",16.98,0.48,27.9,"dg","Diurnal","Terrestrial","Temperate Grasslands, Savannas & Shrublands",7,9,21,"",10,0,7
"27","Oviparous","Phrynosoma_coronatum",23.969,-109.938,29,34.7,12.8,44.4,"dg",18.2,1.05,11.8,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,21,"",NA,NA,NA
