parity,species,lat,lon,elev,eggs_seen,hatchlings_seen,breed_ref,nest_depth,nest_shade,nest_ref
Oviparous,Anolis_carolinensis,31,-89.9,92,5,7,1,,,
Oviparous,Anolis_cristatellus,18.5,-66.2,0,3,12,2,,,
Oviparous,Anolis_cupreus,10.4,-85.1,56,5,7,3,,,
Oviparous,Anolis_gundlachi,18.2,-64.8,0,3,12,2,,,
Oviparous,Anolis_humilis,10.4,-83.8,66,4,11,4,,,
Oviparous,Anolis_lemurinus,10.4,-83.8,66,,,,,,
Oviparous,Anolis_limifrons,10.4,-83.8,66,,,,,,
Oviparous,Anolis_lionotus,10.4,-83.8,66,,,,,,
Oviparous,Anolis_tropidolepis,10.3,-84.8,1535,,,,,,
Oviparous,Aspidoscelis_tigris,43,-116.3,837,5,8,,NA,NA,
Oviparous,Callisaurus_draconoides,31.132,-114.942,72,5,8,,NA,NA,
Oviparous,Cophosaurus_texanus,26.682,-103.748,1161,5,10,,NA,NA,
Oviparous,Ctenotus_regius,-34.2,140,39,12,12,,5,0,
Oviparous,Ctenotus_taeniolatus,-30.5,151.7,1002,2,2,,5,0,
Oviparous,Dipsosaurus_dorsalis,33.8,-115.5,541,4,8,,NA,NA,
Oviparous,Elgaria_multicarinata,33.7,-117.8,22,4,8,,NA,NA,
Viviparous,Eulamprus_tympanum,-36.4,148.4,1846,12,2,,NA,NA,
Oviparous,Gallotia_stehlini,28.1,-15.4,0,5,9,,,,
Viviparous,Hemiergis_peronii,-34.5,138.3,1,10,2,,NA,NA,
Oviparous,Lacerta_agilis,51.8,5.9,79,6,7,,NA,NA,
Oviparous,Lampropholis_coggeri,-17.7,145.5,919,11,2,,10,1,
Oviparous,Lampropholis_coggeri,-17.4,145.5,879,11,2,,10,1,
Oviparous,Lampropholis_coggeri,-17.2,145.5,717,11,2,,10,1,
Oviparous,Petrosaurus_thalassinus,23.555,-109.86,500,5,8,,NA,NA,
Oviparous,Phrynosoma_asio,17.63,-99.526,1200,6,8,,NA,NA,
Oviparous,Phrynosoma_cornutum,30.825,-108.474,1435,7,9,,10,0,
Oviparous,Phrynosoma_coronatum,23.969,-109.938,29,5,8,,NA,NA,
Viviparous,Phrynosoma_hernandesi,31.952,-104.849,2290,4,8,,NA,NA,
Viviparous,Phrynosoma_orbiculare,20.064,-98.201,2502,8,4,,NA,NA,
Viviparous,Phrynosoma_sherbrookei,17.552,-99.269,1997,3,8,,NA,NA,
Viviparous,Phrynosoma_taurus,17.627,-99.526,1200,3,8,,NA,NA,
Oviparous,Platysaurus_intermedius,-24.6,31.2,544,,,,,,
Oviparous,Podarcis_muralis,40.7,-4.1,1164,4,8,,15,NA,
Oviparous,Psammodromus_algirus,40.6,-5.9,923,4,8,,5,1,
Oviparous,Psammodromus_hispanicus,40.4,-4.3,730,4,8,,NA,NA,
Viviparous,Pseudemoia_entrecasteauxii,-36.4,148.4,1846,,,,,,
Oviparous,Sceloporus_aeneus,19.199,-99.847,3220,5,8,,5,0,
Viviparous,Sceloporus_bicanthalis,19.12,-99.747,4151,4,11,,NA,NA,
Oviparous,Sceloporus_brownorum,21.842,-101.714,2200,4,9,,NA,NA,
Oviparous,Sceloporus_chrysostictus,19.08,-91.05,2,5,8,,NA,NA,
Oviparous,Sceloporus_cowlesi,26.806,-102.017,716,6,8,,,,
Oviparous,Sceloporus_cozumelae,21.52,-87.678,2,,,,,,
Viviparous,Sceloporus_cyanogenys,25.604,-100.35,1283,1,4,,NA,NA,
Viviparous,Sceloporus_druckercolini,17.65,-100.523,2486,9,5,,NA,NA,
Oviparous,Sceloporus_gadoviae,19.178,-102.038,616,1,12,,NA,NA,
Oviparous,Sceloporus_graciosus,33.9,-116.4,383,5,8,,NA,NA,
Oviparous,Sceloporus_graciosus,44.725,-110.703,2300,6,9,,NA,NA,
Viviparous,Sceloporus_grammicus,19.318,-99.194,2320,9,10,,NA,NA,
Viviparous,Sceloporus_jarrovii,25.735,-103.676,1312,1,7,,NA,NA,
Viviparous,Sceloporus_macdougalli,16.032,-95.42,50,12,5,,NA,NA,
Oviparous,Sceloporus_magister,31.016,-114.838,11,5,8,,5,0.5,
Viviparous,Sceloporus_malachiticus,10.3,-84.8,1535,10,3,,NA,NA,
Viviparous,Sceloporus_megalepidurus,19.76,-97.604,2413,,,,,,
Oviparous,Sceloporus_merriami,29.2,-103,644,5,8,,NA,NA,
Oviparous,Sceloporus_merriami,29.3,-103.15,994,5,8,,NA,NA,
Viviparous,Sceloporus_minor,20.874,-99.2241,2537,7,10,,NA,NA,
Viviparous,Sceloporus_mucronatus,19.208,-99.277,3508,4,8,,NA,NA,
Oviparous,Sceloporus_occidentalis,45.8,-121.5,218,4,8,,NA,NA,
Oviparous,Sceloporus_occidentalis,31.039,-115.765,882,5,9,,NA,NA,
Oviparous,Sceloporus_occidentalis,34.03,-117.82,232,4,8,,NA,NA,
Viviparous,Sceloporus_omiltemanus,17.592,-99.815,2371,11,2,,NA,NA,
Oviparous,Sceloporus_orcutti,31.039,-115.765,882,5,9,,NA,NA,
Viviparous,Sceloporus_palaciosi,19.265,-99.298,3168,,,,,,
Oviparous,Sceloporus_parvus,20.434,-98.746,2331,3,5,,NA,NA,
Oviparous,Sceloporus_pyrocephalus,19.178,-102.038,616,5,8,,NA,NA,
Viviparous,Sceloporus_scitulus,17.592,-99.815,2371,,,,,,
Oviparous,Sceloporus_siniferus,16.032,-95.42,50,,,,,,
Oviparous,Sceloporus_spinosus,19.735,-98.844,2441,5,9,,NA,NA,
Viviparous,Sceloporus_torquatus,19.318,-99.194,2320,10,5,,NA,NA,
